,0,1,2,3,4,5,6,7
3005,1.23373134916e-20,0.0193290598598,1.93047431421e-20,2.06397067426e-20,1.13357652867e-20,0.323437198025,1.1894847697e-20,1.5166838461e-20
3006,0.0613290004602,0.0196506573212,3.78877917496e-11,0.00440997708931,0.00563078385426,0.0220135089899,1.1894847697e-20,0.0222384054698
3007,0.0138458414189,0.0155685192233,1.93047431421e-20,2.06397067426e-20,0.00178163106814,0.0491557159159,0.0470030243499,0.00331742106073
3008,0.0753358363663,6.63437812823e-21,1.93047431421e-20,2.06397067426e-20,0.00113142812308,0.0233149446656,0.00608833245484,0.00161334751527
3010,1.23373134916e-20,6.63437812823e-21,1.93047431421e-20,2.06397067426e-20,0.00841092607539,6.83382468147e-21,1.1894847697e-20,0.0322746255823
3011,0.0603830379879,6.63437812823e-21,1.93047431421e-20,2.06397067426e-20,1.13357652867e-20,0.0025720122904,1.1894847697e-20,0.0172572599272
3014,1.23373134916e-20,6.63437812823e-21,1.93047431421e-20,0.434999799404,0.00587014342755,6.83382468147e-21,1.1894847697e-20,1.5166838461e-20
3016,1.23373134916e-20,6.63437812823e-21,1.93047431421e-20,0.0023696222277,0.147654985055,6.83382468147e-21,1.1894847697e-20,1.5166838461e-20
3018,0.03149560834,6.63437812823e-21,1.93047431421e-20,0.00143643845981,1.13357652867e-20,0.0122654548648,0.00605303726945,0.00510767580922
3019,3.97874150943e-05,6.63437812823e-21,1.93047431421e-20,0.000673924058521,0.0455219674531,0.00204867218944,1.1894847697e-20,0.13505103761
3020,1.23373134916e-20,6.63437812823e-21,1.93047431421e-20,2.06397067426e-20,1.13357652867e-20,0.000773262854593,0.0295905086164,0.0254575112996
3022,1.23373134916e-20,0.155374293542,1.93047431421e-20,2.06397067426e-20,0.0146913621974,6.83382468147e-21,1.1894847697e-20,1.5166838461e-20
3023,0.000577408961003,0.00824715391831,0.00423812961004,0.0314289936682,0.00716677813918,6.83382468147e-21,0.0714413527973,1.5166838461e-20
3024,1.23373134916e-20,6.63437812823e-21,0.00407756894968,0.00301181979567,0.013872184279,6.83382468147e-21,0.0484756460124,1.5166838461e-20
3025,1.23373134916e-20,2.33366240928e-15,1.93047431421e-20,2.06397067426e-20,0.000482424455109,6.83382468147e-21,1.1894847697e-20,0.0699180118856
