,0,1,2,3,4,5,6,7,8,9
3005,1.24429774172e-20,0.445457042343,1.20185570633e-20,1.78399948806e-20,1.46426628149e-20,2.11224749737e-20,0.00684726190488,6.80096329618e-21,1.19634414224e-20,9.25209077104e-21
3006,0.000857625963602,0.0155654925216,0.00071728307071,1.78399948806e-20,0.0354306017483,0.120561478236,0.00076345960103,0.00617993632222,0.0284921548786,0.0140120607357
3007,0.0571033624962,0.0340692025381,0.00140394567354,1.78399948806e-20,1.46426628149e-20,2.11224749737e-20,0.0263774647764,0.00266420129703,0.0370297512433,9.25209077104e-21
3008,0.00894535092937,0.00499445286734,1.20185570633e-20,1.78399948806e-20,1.46426628149e-20,2.11224749737e-20,1.08688071158e-20,6.80096329618e-21,0.100059649832,9.25209077104e-21
3010,1.24429774172e-20,8.92504538964e-21,0.00899811981972,1.78399948806e-20,1.46426628149e-20,0.00703154954773,1.08688071158e-20,0.0377514706779,1.19634414224e-20,9.25209077104e-21
3011,1.24429774172e-20,8.92504538964e-21,1.20185570633e-20,1.78399948806e-20,1.46426628149e-20,2.11224749737e-20,1.08688071158e-20,0.00294407332953,0.0758879354557,9.25209077104e-21
3014,1.24429774172e-20,8.92504538964e-21,0.00699539737938,0.500962652166,1.46426628149e-20,2.11224749737e-20,1.08688071158e-20,6.80096329618e-21,1.19634414224e-20,9.25209077104e-21
3016,1.24429774172e-20,8.92504538964e-21,0.175369913683,0.0047157879162,1.46426628149e-20,2.11224749737e-20,1.08688071158e-20,6.80096329618e-21,1.19634414224e-20,9.25209077104e-21
3018,0.0048229951061,0.00797603228041,1.20185570633e-20,0.000422410797392,0.0054771260193,2.11224749737e-20,1.08688071158e-20,0.00238685554724,0.0400035713218,9.25209077104e-21
3019,1.24429774172e-20,8.92504538964e-21,0.0201511486226,1.78399948806e-20,1.46426628149e-20,0.163050869855,1.08688071158e-20,0.0934934730973,1.19634414224e-20,9.25209077104e-21
3020,1.24429774172e-20,8.92504538964e-21,1.20185570633e-20,1.78399948806e-20,1.46426628149e-20,0.0971081002636,1.08688071158e-20,6.80096329618e-21,1.19634414224e-20,9.25209077104e-21
3022,1.24429774172e-20,1.22981624762e-16,0.011214809739,1.78399948806e-20,1.46426628149e-20,2.11224749737e-20,0.230095581297,6.80096329618e-21,1.19634414224e-20,9.25209077104e-21
3023,0.0305266176365,0.00104497388529,0.0110611268529,0.0190675847049,0.080473218417,2.11224749737e-20,1.08688071158e-20,6.80096329618e-21,1.19634414224e-20,0.00196786000556
3024,0.065139193715,8.92504538964e-21,0.015283831977,0.00300643131486,1.46426628149e-20,2.11224749737e-20,1.08688071158e-20,6.80096329618e-21,1.19634414224e-20,9.25209077104e-21
3025,1.24429774172e-20,8.92504538964e-21,1.20185570633e-20,1.78399948806e-20,1.46426628149e-20,0.0108514467068,1.08688071158e-20,0.0829963082019,1.19634414224e-20,9.25209077104e-21
3026,1.24429774172e-20,8.92504538964e-21,0.0119133510669,0.0349640807812,1.46426628149e-20,2.11224749737e-20,1.08688071158e-20,6.80096329618e-21,1.19634414224e-20,0.0767866395691
3027,1.24429774172e-20,8.92504538964e-21,0.142550677366,1.78399948806e-20,0.0101845755461,2.11224749737e-20,0.0209074321792,1.19183889886e-10,0.00833148914695,0.00347897158514
3028,0.0611193967556,8.92504538964e-21,1.20185570633e-20,0.00120446151071,1.46426628149e-20,2.11224749737e-20,1.08688071158e-20,6.80096329618e-21,1.19634414224e-20,9.25209077104e-21
3029,0.0248967188051,8.92504538964e-21,0.00874354479784,0.00530478511328,0.0526871873831,2.11224749737e-20,0.0207366366472,6.80096329618e-21,1.19634414224e-20,9.25209077104e-21
