,0,1,2,3,4,5
72,0.0003143525668073286,2.9144434364238896e-20,0.02834487103133548,0.002768847933490748,0.002708441193778509,0.0024228674378678956
137,0.0031800245754305618,0.0007383671203481306,0.0014674898538378158,0.00020722162840924928,0.026485199871435917,0.0010278625209079043
153,0.0024905476757530994,0.0003645825046022118,0.007640225400140511,3.9831597271468947e-20,0.022544341686121884,0.005341629216493907
164,2.4953173331194802e-20,0.006278970345984538,0.0007388040656773696,3.9831597271468947e-20,0.01805404624620165,0.0070251060000685855
173,0.00525195588951968,0.00019582603067161793,0.0220312450565991,0.0005743332485416199,0.023100718756128687,0.009184481770357007
228,0.00018850695864568151,0.0019961595528618964,0.0038865692520130657,3.9831597271468947e-20,0.020662924142236274,0.0025644021253670413
267,0.0010022898264822411,2.9144434364238896e-20,0.0074492082495928,3.9831597271468947e-20,0.003883463860654811,0.012683016759297016
281,0.050113317724375425,1.6455336395173571e-13,0.00555425266034912,0.003398487882659122,0.020665194597169062,0.0010574417482723676
305,0.002413264374039994,0.011469690116123962,0.0015180650238823953,0.0012559991503448987,0.025866034644548955,0.010672731467390992
352,0.0038600002921830735,0.00036050210559325545,0.003986921983858966,0.0009663521394571952,0.008540606482498032,0.0018682477755167077
359,2.4953173331194802e-20,0.0003978440258042365,2.3244542068180496e-13,3.9831597271468947e-20,0.07898017914324325,0.037829045443725756
367,7.238703937412969e-07,0.005085403772279418,0.0013898258234085641,3.9831597271468947e-20,0.048482635707026545,0.0025290701715547535
385,0.0004266881095236703,0.014105750731233803,0.0009733436403341377,3.9831597271468947e-20,0.010072531332068134,0.012843092678397967
422,0.001373281891568058,0.00042050231203786913,0.012300193767197284,0.010448616889698607,0.004642051240837235,0.005803173299388842
423,0.0001646740909310667,0.0009737197491205033,0.021572992682929778,0.004289727124443888,0.0011876638773706638,0.004019228578495539
440,2.4953173331194802e-20,0.005415481028605098,0.0033058509871025927,7.721339716901329e-05,0.017444431075910493,0.005137168912726242
441,0.00011988688299886955,0.012500599446702875,0.0034323427996602353,4.115508028079841e-08,0.005735495808235652,0.009634966178381948
447,0.0038558334970157948,2.9144434364238896e-20,0.034337045395303835,0.0018014239188840235,0.00788898925930759,0.005792777697489433
448,2.4953173331194802e-20,0.0004948149484114857,0.023986567854352197,3.9831597271468947e-20,0.0010512855513796157,0.007377738696526314
449,0.00041284027400051687,0.001045308271318697,0.023219045347263646,0.003820032993298657,0.0005402991361890138,0.003790801492721027
450,0.0001985581353076176,2.9144434364238896e-20,0.03724208622470695,0.0018515917492997105,0.012790074186069842,0.011558781544621371
454,2.0106108030895177e-05,0.007920248605213148,0.0016682016557819988,3.9831597271468947e-20,0.0055692641946566875,0.007424761426281579
455,9.532909322864137e-05,0.004498955173910727,2.6752938812239694e-20,3.9831597271468947e-20,0.013411263795422339,0.003500853818845045
456,0.004212638879994892,0.0019864291770399544,0.0017340419885273415,3.9831597271468947e-20,0.021843472005786783,0.0036475142133810027
457,0.027895120873469192,0.0027995068230637567,0.016549178459452883,0.012292000951535662,0.019385948851313874,0.008594281366588526
468,0.005093104265500839,0.00036632938337451343,0.02144164168717141,0.006068844015028858,0.03300207423435574,0.014060695483803974
469,0.003150998127492696,2.9144434364238896e-20,0.01769548609993809,0.004105434863297451,0.024641223379301774,0.005180670806140377
477,0.0011704917391952498,5.520133322959288e-10,0.028170185916595043,0.00042452600330863667,0.016074144015061777,0.05321744584306459
478,0.0001341169875570493,2.9144434364238896e-20,0.03525751254484004,3.9831597271468947e-20,3.324021934535791e-20,0.004697000725082868
479,0.0023585777626683973,0.0022655900186725514,0.04205322420741462,0.004448997856704811,2.699686013675683e-05,0.014104406950055933
480,2.4953173331194802e-20,2.9144434364238896e-20,0.026442618896162774,0.001494263319763807,0.003475728945037877,0.012239952933685709
484,0.0012960603820228469,6.412499465732422e-05,0.016010258749231947,3.9831597271468947e-20,0.023434547127930437,0.007899475373273221
488,0.000955280688409857,0.0008570364134839733,0.029610921434186515,0.0006787210819055103,0.000888078423089767,0.012470573437466687
490,2.4953173331194802e-20,2.9144434364238896e-20,0.06660732745000296,3.9831597271468947e-20,0.001966902702452802,0.03543320459624023
492,2.4953173331194802e-20,0.002001115792095206,0.0088380144368316,3.9831597271468947e-20,0.006684685347452782,0.04310436183189125
493,0.0032006496283863697,2.9144434364238896e-20,0.014693687607161198,3.9831597271468947e-20,0.013767530463812839,0.00540787424615618
495,0.0007733676744401573,8.295657522784272e-05,0.02899484357383493,0.0008651636207533564,0.0021138292650678355,0.009081039745619001
499,0.03218272313707504,0.0034169476204582655,0.01326711473210621,0.024662268558250995,0.01016285530762789,0.008713305094238753
500,0.005535374542368572,2.9144434364238896e-20,0.013252107263005878,0.002823622645280818,0.026198209225236715,0.007572323452395088
501,2.4953173331194802e-20,0.001864876817089383,2.6752938812239694e-20,3.9831597271468947e-20,0.004214610585312596,0.028139371804103887
508,0.0003125209633133858,2.9144434364238896e-20,0.026722563256768625,0.0029570721643952633,0.005083531770337841,0.0026130789731304708
513,2.4953173331194802e-20,7.468797259566306e-05,0.028930312751756667,0.001958928334596648,0.005687638128984392,0.005371483131706297
514,0.001580784582638692,2.9144434364238896e-20,0.03151372623542561,0.021092489915571194,3.324021934535791e-20,0.01459704952299022
515,0.0002391448411296194,0.0004394841877104097,0.027672966583966296,0.0013090430452176174,2.6631739671509716e-06,0.011935197213866319
516,8.410216358864117e-19,0.004154586618409754,1.5674361078723769e-09,3.9831597271468947e-20,0.010422786027498868,0.002023322783710753
520,0.004529809525816011,2.9144434364238896e-20,0.006321462623392898,1.7145383481022875e-18,0.07501825518176874,2.581327914987706e-20
522,0.0007838673074814377,0.0026636701249086524,0.0029628636210288196,3.9831597271468947e-20,0.01953577903056405,0.0033597812586333006
524,0.0013605356343713195,2.9144434364238896e-20,0.011674774685174463,3.9831597271468947e-20,0.03526654133631398,0.008871512461162433
525,9.220916999619782e-05,2.9144434364238896e-20,0.02167024784769688,0.004396271768684207,0.0014269230236255799,2.581327914987706e-20
529,0.0007862724552473555,0.0002471794432137314,0.029608845669796584,0.001470549346429119,0.0004003977022749179,0.02320326603038308
530,2.4953173331194802e-20,2.9144434364238896e-20,0.018126767325422885,0.009572571693959003,0.005697754929877949,0.006088454993142458
2006,0.10884357586568978,0.0006922216420052605,0.0024997331853481293,0.005570901857994198,0.012542673354774625,3.8557912123925895e-08
2017,2.572564504785555e-05,0.003522966782237198,0.0019715166288405005,3.9831597271468947e-20,0.010806092222124223,0.0036203045181987413
2021,0.0025347808258231546,0.0015476699212767227,0.033611470034909746,0.0028114777164159124,0.002389748810099631,0.014357206211252206
2022,6.266882763266824e-05,0.0065102383057067175,2.6752938812239694e-20,3.9831597271468947e-20,0.0031696503384592684,0.0020124989407953294
2023,0.00106187605690152,0.002613242751600985,2.6752938812239694e-20,0.00015691531091323663,0.015801998479281727,0.0020949473178555975
3131,0.00098655079994248,0.014014807716541296,0.00024235362842821832,0.0007933191045128705,0.002143734070557271,0.001323330883153504
