,0,1,2,3,4,5,6,7,8
3005,1.09073841984e-20,1.88314798292e-20,1.74819529907e-20,8.94182705396e-21,0.00931426965729,1.25684046399e-20,1.87348814255e-20,0.435440355217,1.04036522978e-20
3006,0.00377442382567,0.0555644219646,0.0484430011338,0.00444919618682,0.0215507176538,0.0105804915736,0.0118451211519,0.0161707810247,1.92520179499e-05
3007,0.00160447072106,1.88314798292e-20,0.0363809801982,0.034851210172,0.0183299997466,1.25684046399e-20,0.00318431687565,0.0362386161607,1.04036522978e-20
3008,1.09073841984e-20,1.88314798292e-20,0.0849358816394,0.00982065276184,1.08304436843e-20,1.25684046399e-20,1.87348814255e-20,0.00292086361927,1.04036522978e-20
3010,0.00809825408102,1.88314798292e-20,1.74819529907e-20,8.94182705396e-21,1.08304436843e-20,1.25684046399e-20,0.052734225574,1.25931985202e-20,1.04036522978e-20
3011,1.09073841984e-20,0.0168510913649,0.0616946889936,8.94182705396e-21,1.08304436843e-20,1.25684046399e-20,1.87348814255e-20,1.25931985202e-20,1.04036522978e-20
3014,0.0065561518221,1.88314798292e-20,1.74819529907e-20,8.94182705396e-21,1.08304436843e-20,1.25684046399e-20,1.87348814255e-20,1.25931985202e-20,0.45494075047
3016,0.162195326419,1.88314798292e-20,1.74819529907e-20,8.94182705396e-21,1.08304436843e-20,1.25684046399e-20,1.87348814255e-20,1.25931985202e-20,0.00248957220229
3018,1.09073841984e-20,5.48284464272e-16,0.0377072432292,0.00754874941863,1.08304436843e-20,1.05751486978e-16,6.78126307242e-08,0.00472716147829,0.00116709590807
3019,0.0222538226768,1.88314798292e-20,0.0126135094765,8.94182705396e-21,1.08304436843e-20,1.25684046399e-20,0.231654486013,1.25931985202e-20,0.00141825832403
3020,1.09073841984e-20,1.88314798292e-20,1.74819529907e-20,8.94182705396e-21,1.08304436843e-20,1.25684046399e-20,0.0954329104929,1.25931985202e-20,1.04036522978e-20
3022,0.01423724225,1.88314798292e-20,1.74819529907e-20,8.94182705396e-21,0.154699850155,1.25684046399e-20,1.87348814255e-20,0.00673157426688,1.04036522978e-20
3023,0.006660870164,1.88314798292e-20,1.74819529907e-20,0.0773563427361,0.0033867025285,0.00364315483863,1.87348814255e-20,1.25931985202e-20,0.0295800101175
3024,0.0212088497793,1.88314798292e-20,1.74819529907e-20,0.0416437095028,1.08304436843e-20,0.000484490621318,1.87348814255e-20,1.25931985202e-20,0.00375212133729
3025,1.09073841984e-20,0.138817720802,1.74819529907e-20,8.94182705396e-21,1.08304436843e-20,1.25684046399e-20,0.0118879860466,1.25931985202e-20,1.04036522978e-20
3026,0.0108302902185,1.88314798292e-20,1.74819529907e-20,8.94182705396e-21,1.08304436843e-20,0.070407960035,1.87348814255e-20,1.25931985202e-20,0.0350544357197
3027,0.133047033193,0.00112258100287,0.00638945726407,1.07752506135e-06,0.0187091810103,0.00416313525366,1.87348814255e-20,1.25931985202e-20,1.04036522978e-20
3028,1.26621078974e-15,1.88314798292e-20,1.74819529907e-20,0.0461942881996,1.08304436843e-20,1.25684046399e-20,1.87348814255e-20,1.25931985202e-20,0.0011225364091
3029,0.00842811059269,1.88314798292e-20,1.74819529907e-20,0.0454720120489,0.0258228679581,1.25684046399e-20,1.01324355952e-06,1.25931985202e-20,0.00488501734889
3030,0.298514913628,1.88314798292e-20,0.00556387898851,5.36243393127e-14,0.016583279078,0.00373061612972,0.00985432680915,1.25931985202e-20,0.00643968045665
3031,0.0135894541413,1.88314798292e-20,0.0636944991845,0.000131110140535,0.0363984170274,0.171360151818,0.000203614303382,2.19156414561e-20,0.0200915988236
3032,1.09073841984e-20,1.88314798292e-20,0.0276067270063,8.94182705396e-21,1.08304436843e-20,1.25684046399e-20,0.0154570950143,0.10878111005,0.021308927828
3033,0.0239310042461,0.00488775130817,0.00701458983721,0.00666347511692,0.00384332189538,1.25684046399e-20,0.0157485821437,1.25931985202e-20,1.04036522978e-20
3034,1.09073841984e-20,0.0197772839583,0.0547282457367,8.94182705396e-21,1.08304436843e-20,0.0967029152913,0.0476582299443,1.25931985202e-20,1.04036522978e-20
3035,0.0215255724068,1.88314798292e-20,0.0513490366946,8.94182705396e-21,1.08304436843e-20,1.25684046399e-20,0.0186733346513,0.12846851464,1.04036522978e-20
3036,0.00334398160014,1.88314798292e-20,1.74819529907e-20,0.0056035617505,0.031953741154,1.25684046399e-20,1.87348814255e-20,1.25931985202e-20,0.00181101031426
3037,1.09073841984e-20,1.88314798292e-20,1.74819529907e-20,8.94182705396e-21,0.0449488083408,1.25684046399e-20,1.87348814255e-20,0.00476197477306,1.04036522978e-20
3038,9.9597304961e-19,0.0145570681632,0.0418980213409,0.081487214671,0.0191459471479,0.0111428949829,1.87348814255e-20,1.25931985202e-20,0.00812753845548
3040,0.00118501395295,0.0318344449962,0.0121397040966,1.30136673677e-15,1.08304436843e-20,0.00222362942621,1.87348814255e-20,1.25931985202e-20,0.000575952141953
3042,1.09073841984e-20,1.88314798292e-20,0.00348862066838,0.0341322441643,0.0272952401623,0.00643684356481,1.87348814255e-20,1.25931985202e-20,0.242909044487
