,0,1
39,0.009142593231698274,0.03113308196808725
41,0.00028075217343970563,0.024919537471453687
42,0.008432345862567584,0.02534205309937623
45,0.0022178373381609904,0.029684665543596535
48,2.383590928836811e-18,0.027557055330959743
49,0.010413965119406865,0.023746161438499273
50,0.08146997206501094,0.04056142792626152
51,0.007113319362151932,0.04177118628331247
54,0.027002897178462163,0.020201247325574823
55,0.06792173745321979,0.036467414315
56,0.015123988855672009,0.029393519035582315
57,0.001524888267781784,0.03302773773951985
58,0.005769473265347543,0.006557130615896219
59,0.009443204702294304,0.010564482847116438
60,0.02170931788334935,0.062256582431949405
61,0.03536212158120724,0.06636625940127058
62,0.0027347338617198995,0.03441007035142957
63,0.0010553313882771527,0.045867244629911874
64,0.0040516997841823724,0.040617469692248366
65,0.0058304092117239985,0.06805067767504981
66,0.01552241132412491,0.017671443279897954
67,0.012645592505294128,0.04349416921378808
68,0.0030380187923753025,0.01857357577353832
69,0.22211861296271293,1.804337742202981e-13
70,0.24154548009408996,0.007168819622863911
71,0.013493367263646838,0.01049870848334725
72,0.022456338837365253,0.012691280000706604
73,0.03277667088291475,0.005557324701557263
74,0.06415409640741158,0.043966545229248234
75,0.005724341985951586,0.02999397059289272
76,0.009383855950196557,0.0323755805005536
77,0.03987644577575422,0.04762944221315516
82,0.00036599740937679837,0.030900381124151752
90,0.00016800429516176965,0.0007934402811366338
91,0.0001301769279496875,0.0001903138608864872
