,0,1,2,3
3005,0.0590912414481,0.0311645108637,2.229341588e-20,0.117300252193
3006,0.0297589261471,0.0249395855949,0.00339507327537,0.00501358334092
3007,0.0235113191846,0.0270078565363,2.229341588e-20,0.00986585715941
3008,0.0389181857789,0.00509069173711,2.229341588e-20,0.00649120133391
3010,0.00976768517077,9.99435844135e-21,2.229341588e-20,0.00540734827443
3011,0.0315689486254,0.0018875285642,2.229341588e-20,0.000569010545578
3014,1.15042278788e-20,4.32030496839e-13,0.239544401927,0.0164727522727
3016,1.15042278788e-20,9.99435844135e-21,0.00543690304723,0.0849095210613
3018,0.0187605435119,0.00438375123407,0.000782416554581,0.000942193254234
3019,0.045986737658,9.99435844135e-21,2.229341588e-20,0.0225556133982
3020,0.0148630689531,9.99435844135e-21,2.229341588e-20,0.00629249490476
3022,1.15042278788e-20,0.0836674006023,0.00886166933015,0.0107783124186
3023,1.15042278788e-20,0.0251135786539,0.0223151924342,0.0111569142132
3024,0.00110346333168,0.00892308655078,0.00687345473497,0.0172606807792
3025,0.021520845044,0.000306354235374,2.13550329327e-18,8.11994807289e-21
3026,1.15042278788e-20,0.00177092939695,0.0630381915021,0.00543293071044
3027,0.00267312809646,0.0140512049706,0.00716270550341,0.0643139559454
3028,0.00499810489487,0.00294573255359,0.00264245621616,0.0141629128499
3029,0.000496785763038,0.0254062511405,0.00333891832618,0.014216754729
3030,0.00154336705129,0.00938372471898,0.0249429980506,0.151198011642
3031,0.0459820309867,0.0458852854163,0.0557560515665,0.00618814705833
3032,0.0423679467371,0.00409107102622,0.0111677531035,0.0169598748483
3033,0.00636630550514,0.00509391271439,2.229341588e-20,0.0140951029233
3034,0.0664379855339,0.00315496808758,0.0107872694815,8.11994807289e-21
3035,0.0484287395556,1.61441214884e-19,2.229341588e-20,0.0568485671207
3036,1.15042278788e-20,0.0197319975098,0.000966799357155,0.00284685588653
3037,1.15042278788e-20,0.0246115701154,2.229341588e-20,0.00434400904553
3038,0.0198809971294,0.0459628828612,0.00947728033201,0.00166601044174
3040,0.0106206733067,0.000803827183536,0.000525876202214,0.000523119466513
3042,1.15042278788e-20,0.0340862986026,0.133149889871,8.11994807289e-21
3045,0.00306802293026,0.00019909082743,0.000559189498396,8.11994807289e-21
3046,2.22624030126e-09,0.0140010581543,2.229341588e-20,0.0229241176037
3047,0.0561202327481,8.0118778348e-13,0.00130857358079,8.11994807289e-21
3048,1.15042278788e-20,0.0665541461377,0.00149019551204,0.0159962105948
3049,0.00860102849003,0.00171696653624,0.0723330657901,0.0266028804201
3051,0.0166008848117,0.0103956498671,0.00160817095703,0.0390015068107
3052,0.0296735252347,9.99435844135e-21,0.0101951048173,0.0102578874086
3054,1.15042278788e-20,0.0144933990467,2.229341588e-20,0.000455997151983
3055,0.0110472730572,0.0241986080523,0.0772695037751,1.29018892436e-18
3056,0.0479510607384,9.99435844135e-21,2.229341588e-20,8.11994807289e-21
3057,0.00841723036745,9.99435844135e-21,2.229341588e-20,8.11994807289e-21
3058,1.15042278788e-20,0.0405100853406,2.229341588e-20,8.11994807289e-21
3059,0.0170658954041,9.99435844135e-21,2.229341588e-20,0.000325336598182
3060,0.0100898099682,9.99435844135e-21,2.229341588e-20,0.000104444761967
3062,0.00658034956014,0.0298520514773,0.0241697427225,0.010669606248
3063,0.029698543404,0.0205337880589,0.00378773153532,0.0400905959821
3064,0.060831084219,0.0469940343923,0.00806635064633,0.00839834188441
3065,7.9128941907e-05,0.0156673377062,0.000439495874653,0.00325278432486
3066,1.15042278788e-20,9.71608808212e-15,0.0466660792367,0.0023621393706
3067,0.025242465694,0.0282401568937,0.0565699671884,2.10252304144e-08
3068,0.0109886821427,0.019156673223,0.00247327541903,0.0398988754224
3069,0.0144113499803,0.0634145206909,0.00176622528349,0.0407298380754
3074,0.0353766590816,0.00930998025986,2.229341588e-20,0.00246032272708
3075,0.0241435549404,0.0267845398311,2.229341588e-20,0.0019907590359
3076,0.0274306474638,0.00621206435769,0.00197336739527,0.0212172652941
3077,0.00460052748399,0.0141819365033,0.000960115034333,0.00290372903366
3078,1.15042278788e-20,0.0103234899045,0.000620080119505,0.00160337697992
3079,1.15042278788e-20,5.49358711441e-16,0.0139708331702,0.018288988412
3080,0.00394399219589,0.000576067645124,0.000101506738938,0.00109640735185
3081,0.00299483930376,0.0056112925868,2.229341588e-20,0.0177899281198
3082,0.000396180198261,0.0816090616356,0.0635061248885,0.00376665154556
