"start_time","end_time","start_station_id","end_station_id","start_lat","start_lon","end_lat","end_lon"
"10/3/2016 8:11","10/3/2016 8:21","3047","3010",34.039982,-118.266403,34.037048,-118.254868
"10/3/2016 8:12","10/3/2016 8:31","3027","3081",34.04998,-118.247162,34.031891,-118.250183
"10/3/2016 8:12","10/3/2016 8:17","3055","3032",34.044159,-118.251579,34.049889,-118.255882
"10/3/2016 8:15","10/3/2016 8:24","3067","3082",34.045181,-118.250237,34.04652,-118.237411
"10/3/2016 8:17","10/3/2016 8:33","3016","3010",34.052898,-118.241562,34.037048,-118.254868
"10/3/2016 8:18","10/3/2016 8:28","3062","3005",34.047749,-118.243172,34.04855,-118.259048
"10/3/2016 8:19","10/3/2016 8:31","3076","3082",34.0406,-118.253838,34.04652,-118.237411
"10/3/2016 8:20","10/3/2016 8:27","3069","3042",34.05088,-118.248253,34.049301,-118.238808
"10/3/2016 8:20","10/3/2016 8:33","3022","3048",34.04607,-118.233093,34.041691,-118.235352
"10/3/2016 8:20","10/3/2016 8:23","3047","3019",34.039982,-118.266403,34.038609,-118.260857
"10/3/2016 8:20","10/3/2016 8:28","3031","3016",34.044701,-118.252441,34.052898,-118.241562
"10/3/2016 8:22","10/3/2016 8:27","3064","3034",34.04681,-118.256981,34.042061,-118.263382
"10/3/2016 8:23","10/3/2016 8:31","3042","3051",34.049301,-118.238808,34.045422,-118.253517
"10/3/2016 8:25","10/3/2016 8:42","3048","3047",34.041691,-118.235352,34.039982,-118.266403
"10/3/2016 8:25","10/3/2016 8:31","3030","3082",34.051941,-118.24353,34.04652,-118.237411
"10/3/2016 8:27","10/3/2016 8:32","3042","3069",34.049301,-118.238808,34.05088,-118.248253
"10/3/2016 8:27","10/3/2016 8:39","3056","3063",34.03746,-118.265381,34.049198,-118.252831
"10/3/2016 8:29","10/3/2016 8:34","3056","3034",34.03746,-118.265381,34.042061,-118.263382
"10/3/2016 8:30","10/3/2016 8:34","3060","3010",34.034882,-118.25769,34.037048,-118.254868
"10/3/2016 8:30","10/3/2016 8:47","3032","3079",34.049889,-118.255882,34.05014,-118.233238
"10/3/2016 8:31","10/3/2016 8:39","3055","3035",34.044159,-118.251579,34.048401,-118.260948
"10/3/2016 8:36","10/3/2016 8:44","3038","3064",34.046822,-118.248352,34.04681,-118.256981
"10/3/2016 8:37","10/3/2016 8:41","3032","3064",34.049889,-118.255882,34.04681,-118.256981
"10/3/2016 8:38","10/3/2016 8:57","3066","3019",34.063389,-118.23616,34.038609,-118.260857
"10/3/2016 8:38","10/3/2016 8:45","3069","3064",34.05088,-118.248253,34.04681,-118.256981
"10/3/2016 8:40","10/3/2016 8:49","3069","3019",34.05088,-118.248253,34.038609,-118.260857
"10/3/2016 8:43","10/3/2016 8:52","3055","3058",34.044159,-118.251579,34.035801,-118.23317
"10/3/2016 8:44","10/3/2016 9:04","3066","3035",34.063389,-118.23616,34.048401,-118.260948
"10/3/2016 8:45","10/3/2016 8:48","3023","3016",34.050911,-118.240967,34.052898,-118.241562
"10/3/2016 8:48","10/3/2016 8:55","3019","3025",34.038609,-118.260857,34.03286,-118.268082
"10/3/2016 8:51","10/3/2016 8:55","3059","3076",34.037949,-118.256271,34.0406,-118.253838
"10/3/2016 8:51","10/3/2016 9:04","3082","3005",34.04652,-118.237411,34.04855,-118.259048
"10/3/2016 8:53","10/3/2016 9:03","3062","3005",34.047749,-118.243172,34.04855,-118.259048
"10/3/2016 8:53","10/3/2016 8:56","3047","3074",34.039982,-118.266403,34.04417,-118.261169
"10/3/2016 8:55","10/3/2016 10:09","3007","3022",34.05048,-118.254593,34.04607,-118.233093
"10/3/2016 8:55","10/3/2016 9:03","3042","3066",34.049301,-118.238808,34.063389,-118.23616
"10/3/2016 8:57","10/3/2016 9:07","3047","3064",34.039982,-118.266403,34.04681,-118.256981
"10/3/2016 8:58","10/3/2016 9:06","3047","3064",34.039982,-118.266403,34.04681,-118.256981
"10/3/2016 8:58","10/3/2016 9:09","3049","3048",34.056969,-118.253593,34.041691,-118.235352
"10/3/2016 9:02","10/3/2016 9:13","3014","3007",34.05661,-118.237213,34.05048,-118.254593
"10/3/2016 9:02","10/3/2016 9:10","3055","3075",34.044159,-118.251579,34.04211,-118.256187
"10/3/2016 9:03","10/3/2016 9:08","3076","3031",34.0406,-118.253838,34.044701,-118.252441
"10/3/2016 9:08","10/3/2016 9:17","3034","3007",34.042061,-118.263382,34.05048,-118.254593
"10/3/2016 9:11","10/3/2016 9:22","3031","3014",34.044701,-118.252441,34.05661,-118.237213
"10/3/2016 9:15","10/3/2016 9:26","3081","3076",34.031891,-118.250183,34.0406,-118.253838
"10/3/2016 9:18","10/3/2016 9:22","3064","3031",34.04681,-118.256981,34.044701,-118.252441
"10/3/2016 9:21","10/3/2016 9:25","3074","3047",34.04417,-118.261169,34.039982,-118.266403
"10/3/2016 9:22","10/3/2016 9:30","3082","3046",34.04652,-118.237411,34.05302,-118.247948
"10/3/2016 9:23","10/3/2016 9:43","3026","3033",34.063179,-118.24588,34.040989,-118.255798
"10/3/2016 9:27","10/3/2016 9:37","3026","3051",34.063179,-118.24588,34.045422,-118.253517
"10/3/2016 9:31","10/3/2016 9:44","3082","3067",34.04652,-118.237411,34.045181,-118.250237
"10/3/2016 9:32","10/3/2016 9:44","3075","3025",34.04211,-118.256187,34.03286,-118.268082
"10/3/2016 9:35","10/3/2016 9:47","3032","3030",34.049889,-118.255882,34.051941,-118.24353
"10/3/2016 9:44","10/3/2016 9:54","3031","3052",34.044701,-118.252441,34.051102,-118.264557
"10/3/2016 9:46","10/3/2016 9:49","3032","3064",34.049889,-118.255882,34.04681,-118.256981
"10/3/2016 9:48","10/3/2016 10:10","3048","3064",34.041691,-118.235352,34.04681,-118.256981
"10/3/2016 9:48","10/3/2016 9:52","3049","3032",34.056969,-118.253593,34.049889,-118.255882
"10/3/2016 9:48","10/3/2016 9:56","3042","3006",34.049301,-118.238808,34.04554,-118.256668
"10/3/2016 9:55","10/3/2016 9:58","3064","3032",34.04681,-118.256981,34.049889,-118.255882
"10/3/2016 9:57","10/3/2016 10:19","3082","3079",34.04652,-118.237411,34.05014,-118.233238
"10/3/2016 9:57","10/3/2016 10:03","3049","3051",34.056969,-118.253593,34.045422,-118.253517
"10/3/2016 9:57","10/3/2016 10:09","3082","3063",34.04652,-118.237411,34.049198,-118.252831
"10/3/2016 10:09","10/3/2016 10:27","3016","3048",34.052898,-118.241562,34.041691,-118.235352
"10/3/2016 10:09","10/3/2016 10:27","3016","3048",34.052898,-118.241562,34.041691,-118.235352
"10/3/2016 10:10","10/3/2016 10:13","3014","3016",34.05661,-118.237213,34.052898,-118.241562
"10/3/2016 10:15","10/3/2016 10:22","3058","3082",34.035801,-118.23317,34.04652,-118.237411
"10/3/2016 10:17","10/3/2016 10:25","3042","3027",34.049301,-118.238808,34.04998,-118.247162
"10/3/2016 10:17","10/3/2016 10:30","3082","3007",34.04652,-118.237411,34.05048,-118.254593
"10/3/2016 10:18","10/3/2016 10:29","3036","3055",34.039188,-118.232529,34.044159,-118.251579
